title,views,likes,date,comments_amount,keywords,channel_name,subscribers,category
ANIMALE | VERÃO 24,182,4,2023-07-04,0,[''],Animale,17200.0,RECENT
Dia das Mães Animale 23 | Potência Mãe: força que traduz amor,134,5,2023-05-14,0,"['#AnimalePotenciaMae', '#DiaDasMaes']",Animale,17200.0,RECENT
POTÊNCIA MÃE | Família Animale,109,0,2023-05-11,0,"['#AnimalePotenciaMae', '#DiaDasMaes']",Animale,17200.0,RECENT
POTÊNCIA MÃE | Família Animale,114,1,2023-05-09,0,"['#AnimalePotenciaMae', '#DiaDasMaes']",Animale,17200.0,RECENT
WEBDOCS | SUPERNATURAL,109,1,2023-05-09,0,"['MODA', 'INVERNO 23', 'INVERNO', 'FASHION']",Animale,17200.0,RECENT
TAIS por Maria Ribeiro - Coleção Mulheres | ANIMALE,2032467,285,2020-01-30,7,[''],Animale,17200.0,TOP
Inspiração Coleção Costa Azul | ANIMALE,1775341,92,2018-06-20,0,[''],Animale,17200.0,TOP
Lançamento RIO DE JANEIRO | ANIMALE,1752540,2,2020-08-28,48,[''],Animale,17200.0,TOP
Clara Buarque em Rio de Janeiro | ANIMALE,1732885,233,2020-08-28,5,[''],Animale,17200.0,TOP
SAMILE por Maria Ribeiro - Coleção Mulheres | ANIMALE,1645138,133,2020-03-04,1,[''],Animale,17200.0,TOP
"Alex Morgan, Chloe Kelly, Mana Iwabuchi and more in Calvins or nothing | Calvin Klein",8159,121,2023-06-27,6,[''],Calvin Klein,411000.0,RECENT
Let it out with Brandon Flynn | Calvin Klein Pride 2023,60836,1,2023-05-23,0,"['Calvin Klein', 'Pride 2023', 'Calvin Klein Ad']",Calvin Klein,411000.0,RECENT
Let it out with Amandla Stenberg | Calvin Klein Pride 2023,17878,276,2023-05-23,15,"['Calvin Klein', 'Pride 2023', 'Calvin Klein Ad']",Calvin Klein,411000.0,RECENT
This is JENNIE’s World | Jennie for Calvin Klein,764303,68,2023-05-04,0,[''],Calvin Klein,411000.0,RECENT
Jung Kook in Iconic Tees | Calvin Klein Spring 2023,782403,141,2023-04-18,0,[''],Calvin Klein,411000.0,RECENT
