title,views,likes,date,comments_amount,keywords,channel_name,subscribers,category
Post-MBA Einstein - Depoimento Simone Joesting,28,2,2023-06-22,0,[''],Ensino Einstein,16000.0,RECENT
Mudanças na prática cirúrgica do câncer de mama #86,27,2,2023-06-28,0,[''],Ensino Einstein,16000.0,RECENT
Pós-graduação em Enfermagem Clínica e Cirúrgica do Einstein - Thaís Abrahão Pereira,2700000,11,2021-03-15,5,"['Ensino Einstein', 'Pós-graduação do Einstein', 'Especialização do Einstein', 'Enfermagem Clínica e Cirúrgica', 'Depoimentos']",Ensino Einstein,16000.0,TOP
Pós-graduação em Cardiologia para Médicos do Einstein,1600000,17,2021-02-03,1,"['Pós-graduação Einstein', 'Especialização em Cardiologia Einstein', 'Pós-graduação em Cardiologia para Médicos do Einstein', 'Especializações Einstein', 'Ensino Einstein']",Ensino Einstein,16000.0,TOP
Pós-graduação em Odontologia Hospitalar do Einstein - Coordenadoras e ex-alunas,2200000,42,2021-02-22,0,"['Ensino Einstein', 'Especializações Einstein', 'Pós-graduação em Odontologia Hospitalar', 'Depoimento ex-aluna']",Ensino Einstein,16000.0,TOP
Pós-graduação em Arquitetura Hospitalar do Einstein - Coordenadora Eleonora Zioni,5500000,21,2021-03-11,0,"['Ensino Einstein', 'Pós-graduação em Arquitetura Hospitalar do Einstein', 'Especialização do Einstein']",Ensino Einstein,16000.0,TOP
Pós-graduação EAD em Gestão Estratégica de Empresas de Saúde do Einstein,477000,23,2022-03-15,2,"['Ensino Einstein', 'Pós-graduação EAD do Einstein', 'Gestão Estratégica de Empresas de Saúde']",Ensino Einstein,16000.0,TOP
LiveReactorModel e Pós-Graduação Oswaldo Cruz,206,11,2022-05-13,0,[''],Grupo Oswaldo Cruz - FOC,384.0,RECENT
Vamos juntos construir um legado?,21,2,2023-02-01,0,[''],Grupo Oswaldo Cruz - FOC,384.0,RECENT
Como será seu 2023?,8,0,2023-02-03,0,[''],Grupo Oswaldo Cruz - FOC,384.0,RECENT
5 habilidades de profissionais da Comunicação,12,0,2023-02-07,0,[''],Grupo Oswaldo Cruz - FOC,384.0,RECENT
8 dicas para ser um designer de sucesso ,17,5,2023-02-10,1,[''],Grupo Oswaldo Cruz - FOC,384.0,RECENT
Segunda avaliação do Processo Seletivo 2016 - Faculdades Oswaldo Cruz,976,4,2015-12-12,0,"['Faculdades Oswaldo Cruz', 'Vestibular 2016', 'FOC', 'Processo Seletivo', 'Oswaldo Cruz', 'FOC Oswaldo Cruz', 'Administração de Empresas', 'Alimentos Industrializados', 'Análise e Desenvolvimento de Sistemas', 'Contabilidade', 'Cosméticos', 'Design', 'Economia', 'Enfermagem', 'Engenharia Ambiental', 'Engenharia Civil', 'Engenharia de Produção', 'Engenharia Química', 'Farmácia', 'Gestão Ambiental', 'Rádio e Televisão', 'Polímeros', 'Publicidade e Propaganda', 'Química Bacharelado', 'Química Industrial', 'Química Licenciatura']",Grupo Oswaldo Cruz - FOC,384.0,TOP
Faculdades Oswaldo Cruz realizam primeira avaliação do Processo Seletivo 2017,1300,9,2016-11-12,0,"['processo seletivo', 'vestibular', 'faculdades oswaldo cruz', 'química bacharelado', 'contabilidade', 'farmácia', 'engenharia', 'química', 'design', 'publicidade e propaganda', 'processo seletivo 2017']",Grupo Oswaldo Cruz - FOC,384.0,TOP
Consulte Bolsas – Programa exclusivo do Oswaldo Cruz para pedidos de bolsas de estudos,7400,39,2017-09-14,1,[''],Grupo Oswaldo Cruz - FOC,384.0,TOP
Primeira avaliação do Processo Seletivo 2018 do Grupo Oswaldo Cruz,3600,61,2017-09-23,2,"['vestibular', 'farmácia', 'engenharia', 'tecnólogos', 'saúde', 'meio ambiente', 'negócios', 'química', 'comunicação', 'processo seletivo', 'oswaldo cruz']",Grupo Oswaldo Cruz - FOC,384.0,TOP
Visita à fábrica da Coca-Cola,8800,72,2016-10-06,12,"['coca-cola', 'foc', 'química industrial', 'gestão ambiental', 'pós-graduação', 'visita técnica']",Grupo Oswaldo Cruz - FOC,16000.0,TOP
Não Pare de se Cuidar,882000,0,2020-12-03,0,[''],Hospital Sírio-Libanês,384.0,TOP
Entendendo mais a febre maculosa,23000,22,2023-06-19,0,[''],Hospital Sírio-Libanês,49800.0,RECENT
Faculdade Sírio-Libanês | Faça por você. Faça pelo mundo.,112000,31,2023-06-22,0,[''],Hospital Sírio-Libanês,49800.0,RECENT
"Ascaridíase: sintomas e tratamento da popular ""lombriga""",10000,8,2023-06-23,0,[''],Hospital Sírio-Libanês,49800.0,RECENT
Conheça avanços em tratamentos contra o câncer (ASCO 2023) | Sírio-Libanês Responde por Dr. Salim,158,9,2023-06-29,0,[''],Hospital Sírio-Libanês,49800.0,RECENT
Ascaridíase: conheça sintomas que podem passar despercebidos,56,10,2023-06-29,0,[''],Hospital Sírio-Libanês,49800.0,RECENT
Essência do Cuidado - Conexão que aflora e transforma,1000000,0,2018-12-03,0,"['Dr. Paulo Chapchap', 'hospital', 'Sírio-Libanês', 'cuidado', 'paciente', 'saúde', 'tratamento']",Hospital Sírio-Libanês,49800.0,TOP
Podemos confiar em vacinas criadas em tempo recorde?,899000,0,2021-05-11,0,[''],Hospital Sírio-Libanês,49800.0,TOP
Hospital Sírio-Libanês | 100 Anos,2500000,407,2021-11-28,0,[''],Hospital Sírio-Libanês,49800.0,TOP
ABVP - Menores prostitutas,285000,2,2017-03-16,0,"['Associação Brasileira de Vídeo Popular', 'ABVP', 'Menores prostitutas', 'I Vídeo Mulher. Brasilia', '1987', 'Videoteca PUCSP']",TVPUC,49800.0,TOP
Daniel - Jogos Digitais PUC-SP,344000,0,2017-11-21,0,"['Administração', 'Arte', 'Curadoria', 'Fisioterapia', 'Ciência da Computação', 'Ciências Atuariais', 'Ciências Contábeis', 'História', 'Ciências Econômicas', 'Jornalismo', 'Comércio Internacional', 'Ciências Sociais', 'Matemática Empresarial', 'Multimeios', 'Medicina', 'Design', 'Pedagogia', 'Direito', 'Psicologia', 'Enfermagem', 'Engenharia Biomédica', 'Engenharia Civil', 'Serviço Social', 'Engenharia de Produção', 'Sistemas de Informação', 'Conservação e Restauro', 'Jogos Digitais', 'Engenharia Mecânica', 'vcnapuc', '#vcnapuc', '#escolhaserpuc']",TVPUC,49800.0,TOP
Caros Amigos com Antônio Abujamra (60 min),263000,9,2017-12-08,0,"['Antônio Abujamra', 'caros amigos', 'entrevista especial', 'tvpuc', 'tvpuc sp', 'puc', 'puc sp', 'ator', 'diretor', 'antonio abujamra', 'abujanra']",TVPUC,49800.0,TOP
Depoimento | Jom Tob Azulay -  Parte 01,23,2,2023-06-28,0,[''],TVPUC,86200.0,RECENT
Desafio Profissão | Comunicação e Relações Públicas,15,5,2023-07-03,0,[''],TVPUC,86200.0,RECENT
Desafio Profissão | Medicina Pediatria,3,0,2023-07-03,0,[''],TVPUC,86200.0,RECENT
Desafio Profissão | Geografia - Trabalhando no exterior,6,3,2023-07-03,0,[''],TVPUC,86200.0,RECENT
Projeto Canto Coral da Derdic,21,2,2023-07-03,0,[''],TVPUC,86200.0,RECENT
Diálogos Impertinentes - A UTOPIA,226000,9,2014-07-22,0,"['mario sergio cortella', 'rubem alves', 'antropólogo', 'escritor', 'senador', 'darcy ribeiro', 'filosofia', 'tvpuc', 'tvpuc-sp', 'puc', 'puc-sp', 'dialogos', 'impertinentes', 'sesc', 'folha', 'tv', 'programa', 'teatro', 'tuca', 'literatura', 'utopia', 'dialogos impertinentes', 'debates', 'entrevistas', 'ao vivo', 'escritores']",TVPUC,86200.0,TOP
Diálogos Impertinentes - A MORAL,92000,4,2019-05-13,0,"['A MORAL', 'folha de são paulo', 'sesc-sp', 'tvpuc-sp', 'puc-sp', 'carlos josaphat', 'olavo de carvalho', 'diálogos impertinentes']",TVPUC,86200.0,TOP
Polo Cachoeiro | Centro Universitário São Camilo,1800,3,2023-05-29,0,[''],saocamilosp,5550.0,RECENT
COVID-19: Docente de Medicina fala ao Jornal da Cultura sobre o fim do estado de emergência,270,6,2023-05-31,0,"['medicina', 'saúde pública', 'são camilo', 'covid-19']",saocamilosp,5550.0,RECENT
Programa 6 ,110,15,2023-06-01,0,[''],saocamilosp,5550.0,RECENT
"Perspectiva de Gênero na Bioética, no Direito e na Saúde",45,0,2023-06-05,0,"['Direito', 'Bioética', 'São Camilo', 'Saúde', 'Perspectiva de Gênero', 'Gênero']",saocamilosp,5550.0,RECENT
Conheça o Centro Universitário São Camilo - SP,96,10,2023-06-27,0,"['são camilo', 'saocamilo', 'faculdade', 'universidade', 'centro universitário', 'ensino superior']",saocamilosp,5550.0,RECENT
Viva o sonho da Medicina na prática,847000,15,2021-09-22,0,[''],saocamilosp,5550.0,TOP
Pós-graduação São Camilo | Líder no ensino da Saúde há mais de 50 anos.,1400000,2,2021-12-14,0,[''],saocamilosp,5550.0,TOP
Que tal viver o sonho da graduação na primeira opção em saúde do país?,586000,3,2022-05-13,0,[''],saocamilosp,5550.0,TOP
Pós-graduação São Camilo | Inscrições abertas!,1200000,19,2022-11-18,0,"['pósgraduação', 'pós-graduação', 'pos', 'pós graduação', 'pos graduacao', 'faculdade', 'universidade', 'centro universitário', 'esg', 'melhor universidade', 'melhor faculdade']",saocamilosp,5550.0,TOP
Vestibular São Camilo | Inscrições abertas para o Processo Seletivo 2023,1000000,72,2022-11-18,1,"['vestibular', 'são camilo', 'enem', 'processo seletivo', 'universidade', 'faculdade', 'centro universitário', 'vestibular2023', 'ensino superior', 'melhor faculdade', 'são paulo', 'melhor universidade']",saocamilosp,5550.0,TOP
